NodeA,NodeB,Weights
146,3204,1.0
146,2788,1.0
146,5017,1.0
146,12330,0.0
146,997,0.0
147,2943,1.0
147,8933,1.0
147,7895,1.0
147,11410,1.0
147,12383,1.0
147,2132,1.0
147,13049,1.0
147,11128,1.0
147,7534,1.0
147,11781,1.0
148,54,1.0
148,9249,1.0
148,5859,1.0
148,2399,1.0
148,2616,1.0
148,7166,1.0
148,3802,1.0
148,84,1.0
148,11920,0.0
148,1503,0.0
149,8881,1.0
149,6172,1.0
149,6320,1.0
149,6890,1.0
149,6656,1.0
149,5298,1.0
149,3459,1.0
149,545,1.0
149,2401,1.0
149,9779,1.0
150,11175,1.0
150,6741,1.0
150,11325,1.0
150,7268,1.0
150,1363,1.0
150,2369,1.0
150,8925,1.0
150,10544,1.0
150,2210,1.0
150,1218,1.0
151,1629,1.0
151,9682,1.0
151,8193,1.0
151,2097,1.0
151,12906,1.0
151,4770,1.0
151,11988,1.0
151,3758,1.0
151,7077,1.0
151,6021,0.0
152,3390,1.0
152,8135,1.0
152,10529,1.0
152,11598,1.0
152,4951,1.0
152,1580,1.0
152,12591,1.0
152,2651,0.0
152,3946,0.0
152,13041,0.0
153,4704,1.0
153,1149,1.0
153,4671,1.0
153,10038,1.0
153,1874,1.0
153,7421,1.0
153,4967,1.0
153,139,0.0
153,11675,0.0
153,9,0.0
154,6120,1.0
154,11896,1.0
154,2727,1.0
154,62,1.0
154,13029,1.0
154,10454,1.0
154,6157,1.0
154,328,1.0
154,5939,1.0
154,4137,1.0
155,9780,1.0
155,1016,1.0
155,5639,1.0
155,1557,1.0
155,1179,1.0
155,11414,1.0
155,10662,1.0
155,2730,1.0
155,3640,0.0
155,12912,0.0
